PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PTS,EFF
1630534,216,Ochai Agbaji,1610612761,TOR,68,20.0,2.2,5.3,0.412,0.9,2.8,0.314,0.4,0.5,0.714,0.8,1.7,2.5,0.9,0.5,0.5,0.8,5.6,6.1
1630700,217,Dyson Daniels,1610612740,NOP,52,21.9,2.2,4.9,0.438,0.6,2.1,0.291,0.6,1.0,0.64,1.0,2.7,3.7,2.6,1.4,0.4,1.0,5.5,9.5
1629680,218,Matisse Thybulle,1610612757,POR,64,23.1,2.0,4.9,0.4,1.3,3.6,0.349,0.3,0.5,0.759,0.5,1.6,2.1,1.4,1.8,0.8,0.6,5.5,7.9
1629731,219,Dean Wade,1610612739,CLE,54,20.5,1.8,4.3,0.414,1.5,3.7,0.391,0.4,0.5,0.769,0.7,3.4,4.0,0.8,0.7,0.5,0.4,5.4,8.4
1627739,220,Kris Dunn,1610612762,UTA,60,18.8,2.2,4.7,0.47,0.7,1.7,0.392,0.3,0.4,0.68,0.8,2.0,2.8,3.9,1.1,0.4,1.2,5.4,9.7
1629048,221,Goga Bitadze,1610612753,ORL,55,16.7,2.2,3.6,0.608,0.0,0.2,0.154,0.9,1.4,0.658,1.9,3.0,5.0,1.4,0.5,1.3,0.7,5.4,11.0
1629312,222,Haywood Highsmith,1610612748,MIA,53,19.2,2.0,4.5,0.432,1.0,2.7,0.366,0.4,0.6,0.733,0.8,1.8,2.6,0.9,0.8,0.5,0.5,5.3,6.9
1629234,223,Drew Eubanks,1610612756,PHX,63,15.5,2.1,3.4,0.622,0.0,0.0,1.0,1.0,1.3,0.763,1.4,2.9,4.3,0.8,0.4,0.8,0.9,5.3,9.1
1628436,224,Luke Kornet,1610612738,BOS,51,15.3,2.2,3.2,0.679,0.0,0.0,0.0,0.8,0.9,0.911,1.9,2.1,4.0,0.9,0.4,1.0,0.4,5.2,10.0
1631121,225,Bryce McGowens,1610612766,CHA,50,15.8,1.8,3.9,0.454,0.6,1.8,0.341,1.0,1.4,0.754,0.3,1.5,1.8,0.9,0.4,0.1,0.5,5.2,5.5
1631200,226,Kris Murray,1610612757,POR,49,18.2,2.0,4.8,0.412,0.6,2.3,0.272,0.5,0.8,0.605,1.0,1.9,2.9,1.2,0.8,0.3,0.8,5.0,6.3
1629006,227,Josh Okogie,1610612756,PHX,54,17.1,1.5,3.7,0.417,0.5,1.7,0.297,1.4,1.9,0.74,1.3,1.4,2.7,1.1,0.9,0.4,0.6,4.9,6.9
1628975,228,Jevon Carter,1610612741,CHI,65,13.8,1.9,5.0,0.382,1.0,3.1,0.333,0.1,0.1,0.571,0.1,0.7,0.8,1.2,0.5,0.2,0.5,4.9,4.0
1641710,229,Anthony Black,1610612753,ORL,62,17.8,1.7,3.8,0.459,0.5,1.4,0.386,0.8,1.2,0.623,0.5,1.7,2.2,1.4,0.5,0.3,0.8,4.8,5.9
1631108,230,Max Christie,1610612747,LAL,55,15.7,1.7,3.9,0.429,0.7,1.9,0.364,0.6,0.8,0.773,0.2,2.1,2.3,1.0,0.3,0.3,0.6,4.7,5.6
1626172,231,Kevon Looney,1610612744,GSW,63,16.8,1.9,3.2,0.598,0.0,0.0,0.0,0.7,1.1,0.667,2.0,3.8,5.8,2.0,0.4,0.3,0.7,4.5,10.6
204060,232,Joe Ingles,1610612753,ORL,55,17.2,1.5,3.5,0.428,1.1,2.5,0.426,0.4,0.5,0.852,0.3,1.8,2.1,3.0,0.6,0.1,0.9,4.5,7.3
1630558,233,Davion Mitchell,1610612758,SAC,58,13.7,1.7,3.8,0.448,0.6,1.9,0.319,0.3,0.5,0.741,0.2,0.9,1.1,1.7,0.2,0.1,0.6,4.4,4.6
1630537,234,Chris Duarte,1610612758,SAC,48,13.0,1.5,3.6,0.411,0.8,2.1,0.386,0.5,0.6,0.774,0.5,1.5,2.0,0.8,0.5,0.1,0.4,4.3,5.0
1631216,235,Caleb Houstan,1610612753,ORL,52,14.1,1.3,3.5,0.38,1.2,3.3,0.366,0.4,0.5,0.792,0.5,1.0,1.5,0.5,0.2,0.1,0.3,4.3,4.0
1630256,236,Jae'Sean Tate,1610612745,HOU,58,16.6,1.7,3.7,0.469,0.4,1.2,0.306,0.4,0.6,0.676,1.0,2.2,3.2,1.0,0.7,0.2,0.5,4.3,6.7
1629723,237,John Konchar,1610612763,MEM,54,21.1,1.6,3.8,0.424,0.7,2.1,0.313,0.4,0.5,0.84,1.3,3.3,4.7,2.0,0.9,0.9,0.8,4.2,9.7
1629026,238,Kenrich Williams,1610612760,OKC,55,14.0,1.6,3.6,0.45,0.8,2.0,0.391,0.1,0.2,0.3,0.8,2.1,2.9,1.2,0.5,0.1,0.4,4.1,6.4
1630201,239,Malachi Flynn,1610612765,DET,57,11.1,1.4,3.6,0.394,0.7,2.0,0.336,0.5,0.7,0.756,0.2,1.2,1.5,1.6,0.4,0.1,0.8,4.0,4.5
1629637,240,Jaxson Hayes,1610612747,LAL,58,11.8,1.7,2.4,0.701,0.0,0.1,0.0,0.7,1.1,0.603,0.9,1.8,2.7,0.4,0.4,0.4,0.5,4.0,6.3
1628966,241,Keita Bates-Diop,1610612751,BKN,52,12.7,1.4,3.2,0.434,0.4,1.3,0.304,0.6,0.8,0.762,0.6,1.5,2.1,0.7,0.5,0.4,0.3,3.8,5.3
1631119,242,Jaylin Williams,1610612760,OKC,56,12.5,1.3,3.2,0.394,0.8,2.1,0.362,0.4,0.5,0.821,0.5,2.7,3.2,1.3,0.4,0.4,0.4,3.7,6.5
203939,243,Dwight Powell,1610612742,DAL,54,14.0,1.3,1.8,0.694,0.0,0.0,0.5,1.1,1.6,0.726,1.6,1.9,3.4,1.4,0.4,0.4,0.5,3.7,7.8
1629726,244,Garrison Mathews,1610612737,ATL,52,13.5,1.2,2.7,0.432,1.0,2.4,0.435,0.3,0.4,0.75,0.3,1.1,1.3,0.5,0.3,0.1,0.3,3.6,3.9
1630231,245,KJ Martin,1610612755,PHI,52,11.8,1.5,2.8,0.534,0.2,0.5,0.32,0.4,0.8,0.55,0.5,1.5,2.0,0.8,0.4,0.1,0.5,3.6,4.7
1630192,246,Zeke Nnaji,1610612743,DEN,53,9.8,1.2,2.6,0.449,0.1,0.4,0.238,0.8,1.1,0.712,1.1,1.0,2.1,0.6,0.2,0.7,0.5,3.2,4.6
1630550,247,JT Thor,1610612766,CHA,52,12.4,1.1,2.9,0.379,0.4,1.3,0.324,0.1,0.3,0.538,0.8,1.5,2.3,0.4,0.2,0.4,0.3,2.8,3.8
1641748,248,Andre Jackson Jr.,1610612749,MIL,49,10.4,1.0,1.8,0.528,0.3,0.8,0.375,0.2,0.2,0.727,0.8,1.2,2.0,0.9,0.3,0.1,0.5,2.4,4.3
